Category,Department,Keywords,Severity
Theft,Directorate of Police,"taken from my car, car theft, property theft, emptied my, retail theft, made off with",Medium
Theft,Directorate of Police,"grabbed my, theft, lifted my wallet, vehicle break-in",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber stalking, online harassment, cyber extortion, cyber threat, strange messages, internet scam",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug conspiracy, heroin, drug meetup",Medium
Theft,Directorate of Police,"grand theft, laptop stolen, taken from my car, cash stolen, looted",Low
Fraud,Head of Financial Crimes Unit,"fake website, scam, inheritance scam, financial deception, investment scam, fraudulent documents",High
Fraud,Head of Financial Crimes Unit,"got scammed, mortgage fraud, credit fraud, fraudulent documents",Critical
Theft,Directorate of Police,"taken from my car, car gone, purse snatching, copper wire theft, steal",Low
Theft,Directorate of Police,"looted, purse snatching, larceny, laptop stolen",High
Theft,Directorate of Police,"ransacked, jewelry theft, looted, break-in, lifted my wallet",Low
Fraud,Head of Financial Crimes Unit,"pyramid scheme, corporate fraud, inheritance scam",Medium
Drug-Related Offenses,Chief of Narcotics Control,"crack house, drug drops, dealing drugs",Low
Cybercrime,Head of Cyber Crime Bureau,"account hacked, cyber harassment, online scam, online harassment, crypto scam",Critical
Fraud,Head of Financial Crimes Unit,"loan fraud, strange transaction, false promises, payment fraud, scam, identity stolen",Low
Assault,Commissioner of Law Enforcement,"attacked me, started swinging, jumped me, ganged up on, got attacked",High
Fraud,Head of Financial Crimes Unit,"took my money, fake investment, card got charged, real estate fraud",Critical
Theft,Directorate of Police,"snatched, stolen property, missing",Medium
Cybercrime,Head of Cyber Crime Bureau,"credential theft, account compromised, database breach",Medium
Drug-Related Offenses,Chief of Narcotics Control,"possession, cocaine, substance abuse, illegal prescription, drug conspiracy, drug money",High
Theft,Directorate of Police,"break-in, lifted my wallet, items missing, car theft, laptop stolen",Medium
Fraud,Head of Financial Crimes Unit,"fake company, pretending to be, wire fraud",High
Drug-Related Offenses,Chief of Narcotics Control,"drug laboratory, illegal prescription, drug ring, illegal prescriptions, drug conspiracy, drug sale",Critical
Assault,Commissioner of Law Enforcement,"attacked me, knocked me down, brutal attack",Medium
Theft,Directorate of Police,"petty theft, bike gone, catalytic converter theft, ran off with, theft, took my stuff",Medium
Fraud,Head of Financial Crimes Unit,"pretending to be, gift card scam, tax fraud, investment fraud",Medium
Theft,Directorate of Police,"purse snatching, car gone, stole from me, stealing, laptop stolen, car theft",Critical
Fraud,Head of Financial Crimes Unit,"tax fraud, mail fraud, ripped off",Critical
Theft,Directorate of Police,"laptop stolen, robbed, stolen property, lifted my wallet, stealing",Critical
Drug-Related Offenses,Chief of Narcotics Control,"heroin, substance abuse, prescription drugs, dealing from car, crystal meth",Medium
Theft,Directorate of Police,"residential burglary, theft from vehicle, bike theft, ransacked, theft",Low
Assault,Commissioner of Law Enforcement,"physical abuse, threatened to hurt, came at me",Critical
Assault,Commissioner of Law Enforcement,"physical abuse, came at me, getting threatening",High
Cybercrime,Head of Cyber Crime Bureau,"fake profile, online harassment, social media scam, crypto scam",High
Theft,Directorate of Police,"commercial burglary, car gone, disappeared with, missing from my porch",High
Assault,Commissioner of Law Enforcement,"ganged up on, physical injury, armed assault, violence",Medium
Theft,Directorate of Police,"car theft, car gone, break-in, emptied my, nicked my",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber terrorism, identity stolen online, online threats",Low
Fraud,Head of Financial Crimes Unit,"financial deception, bank scam, tax fraud, card got charged, fraudulent documents, cheating",Medium
Fraud,Head of Financial Crimes Unit,"phone scam, real estate fraud, insurance scam, pretending to be, identity stolen, credit card",High
Cybercrime,Head of Cyber Crime Bureau,"social media hack, identity breach, online impersonation",High
Drug-Related Offenses,Chief of Narcotics Control,"pharmaceutical theft, drug addiction, controlled substances, suspicious transactions, illegal prescriptions, illegal prescription",High
Cybercrime,Head of Cyber Crime Bureau,"cyber fraud, tech support scam, digital theft",Low
Cybercrime,Head of Cyber Crime Bureau,"malware, cyber attack, phone hacked, password stolen, strange messages",Low
Theft,Directorate of Police,"copper wire theft, made off with, disappeared with, stolen property",Critical
Fraud,Head of Financial Crimes Unit,"telemarketing fraud, suspicious call, healthcare fraud, fake email, identity fraud",Low
Fraud,Head of Financial Crimes Unit,"welfare fraud, too good to be true, bank scam, investment fraud, tech support scam",Low
Theft,Directorate of Police,"purse snatching, missing from my porch, burglary, jewelry theft",High
Drug-Related Offenses,Chief of Narcotics Control,"constant visitors, selling drugs, possession",Critical
Assault,Commissioner of Law Enforcement,"aggressive behavior, coming after me, getting in my face",Medium
Drug-Related Offenses,Chief of Narcotics Control,"pills for sale, prescription drugs, late night activity, drug laboratory, weird smell, drug smuggling",Critical
Drug-Related Offenses,Chief of Narcotics Control,"methamphetamine, narcotic sales, sketchy behavior, drug house, drug meetup, possession",High
Fraud,Head of Financial Crimes Unit,"fake company, phone scam, suspicious charge, fake website, ponzi scheme, advance fee fraud",Low
Theft,Directorate of Police,"stealing, storage unit theft, catalytic converter theft, theft from vehicle, nicked my, someone took my",Low
Assault,Commissioner of Law Enforcement,"unprovoked attack, attack, getting threatening, violent confrontation",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug paraphernalia, sketchy behavior, marijuana, drugs, controlled substances, drug meetup",Medium
Cybercrime,Head of Cyber Crime Bureau,"online harassment, email hacked, hacking incident, spam emails",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber attack, email scam, internet scam, webcam hacked",Medium
Theft,Directorate of Police,"vehicle break-in, steal, grand theft, car theft",High
Cybercrime,Head of Cyber Crime Bureau,"webcam hacked, hacking incident, website defacement, weird emails, social media scam, computer virus",Medium
Fraud,Head of Financial Crimes Unit,"advance fee fraud, insurance fraud, suspicious call, loan fraud",High
Fraud,Head of Financial Crimes Unit,"tech support scam, lottery scam, too good to be true",Critical
Drug-Related Offenses,Chief of Narcotics Control,"opioids, drug meetup, strange odors, designer drugs, narcotic sales",Low
Drug-Related Offenses,Chief of Narcotics Control,"dealing drugs, suspicious packages, people coming and going, synthetic drugs, pharmaceutical theft",High
Assault,Commissioner of Law Enforcement,"physical injury, got into a fight, ganged up on, brutal attack",Medium
Theft,Directorate of Police,"stolen from my yard, grand theft, pinched my",Critical
Drug-Related Offenses,Chief of Narcotics Control,"illegal substances, psychedelic drugs, narcotic sales",Low
Assault,Commissioner of Law Enforcement,"threw punches, got beaten, started swinging",Critical
Assault,Commissioner of Law Enforcement,"bodily harm, fight, brutal attack, assault and battery, jumped me, threatened to hurt",High
Cybercrime,Head of Cyber Crime Bureau,"digital extortion, identity breach, cyber security breach",Medium
Theft,Directorate of Police,"took my stuff, broke into my house, stolen property, stolen package",Critical
Assault,Commissioner of Law Enforcement,"shoved me, physical intimidation, acting aggressive",High
Fraud,Head of Financial Crimes Unit,"ponzi scheme, scam, internet fraud, pretending to be",Critical
Assault,Commissioner of Law Enforcement,"physical abuse, getting threatening, group assault",Medium
Assault,Commissioner of Law Enforcement,"physical abuse, got beaten, attacked me, knocked me down, battery",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber espionage, database breach, cryptocurrency scam",Medium
Theft,Directorate of Police,"missing, shoplifting, porch pirate, broke into my house, stole from me",High
Drug-Related Offenses,Chief of Narcotics Control,"possession, crack cocaine, drug house, strange odors",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug ring, strange odors, drug addiction, sketchy behavior",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug overdose, opioids, trafficking",High
Fraud,Head of Financial Crimes Unit,"strange transaction, fraud, check fraud, tax fraud, money laundering, pretending to be",High
Cybercrime,Head of Cyber Crime Bureau,"network intrusion, cryptocurrency scam, account hacked, suspicious login, cyber security breach, cyber terrorism",Medium
Fraud,Head of Financial Crimes Unit,"investment fraud, gift card scam, bank scam, fake website, fake email, loan fraud",Low
Assault,Commissioner of Law Enforcement,"weapon assault, aggressive behavior, coming after me",Medium
Fraud,Head of Financial Crimes Unit,"fake company, cheating, pretending to be, welfare fraud",Critical
Fraud,Head of Financial Crimes Unit,"check fraud, bank fraud, ripped off, too good to be true",Medium
Assault,Commissioner of Law Enforcement,"physical injury, school violence, physical threat, aggravated assault, getting threatening",Medium
Drug-Related Offenses,Chief of Narcotics Control,"methamphetamine, controlled substances, crack house",Critical
Theft,Directorate of Police,"break-in, theft, purse snatching, disappeared with",Low
Assault,Commissioner of Law Enforcement,"violence, bodily harm, aggressive behavior, punch",Low
Theft,Directorate of Police,"catalytic converter theft, ran off with, stole from me, retail theft, took my stuff",Low
Assault,Commissioner of Law Enforcement,"trying to fight, street fight, brutal attack, got jumped, domestic violence",High
Theft,Directorate of Police,"robbed, residential burglary, cash stolen, purse snatching, made off with, took my stuff",Critical
Theft,Directorate of Police,"snatched, went missing from, pinched my",Medium
Drug-Related Offenses,Chief of Narcotics Control,"lots of traffic, heroin, drug activity, drug drops",Low
Cybercrime,Head of Cyber Crime Bureau,"botnet attack, cyber security breach, spyware",Low
Cybercrime,Head of Cyber Crime Bureau,"internet scam, trojan horse, cyber extortion, ransomware, online stalking",Medium
Fraud,Head of Financial Crimes Unit,"check fraud, insurance scam, fake job offer, identity stolen, strange transaction",Medium
Fraud,Head of Financial Crimes Unit,"wire fraud, got scammed, tax fraud, fake job offer",Low
Fraud,Head of Financial Crimes Unit,"fake website, healthcare fraud, investment scam, money disappeared, fake investment, fake email",Medium
Fraud,Head of Financial Crimes Unit,"employment fraud, telemarketing fraud, fake website, credit fraud, money laundering",Medium
Theft,Directorate of Police,"looted, theft, ran off with, petty theft, went missing from",Medium
Theft,Directorate of Police,"nicked my, took my stuff, took everything, items missing",Critical
Fraud,Head of Financial Crimes Unit,"fraudulent documents, bank fraud, real estate fraud, forgery, embezzlement",High
Cybercrime,Head of Cyber Crime Bureau,"website defacement, hacking incident, denial of service, computer virus, spyware, fake website",Critical
Fraud,Head of Financial Crimes Unit,"wire fraud, employment fraud, identity fraud, took my money",Low
Fraud,Head of Financial Crimes Unit,"embezzlement, fake email, identity stolen, money disappeared, payment fraud",Low
Cybercrime,Head of Cyber Crime Bureau,"identity breach, computer virus, denial of service, online harassment",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug cultivation, drug laboratory, drug money, opioids, drug cartel, marijuana",Critical
Cybercrime,Head of Cyber Crime Bureau,"database breach, spyware, internet scam, tech support scam, digital extortion",Medium
Fraud,Head of Financial Crimes Unit,"credit fraud, pyramid scheme, fake website",Critical
Cybercrime,Head of Cyber Crime Bureau,"data leak, cyber harassment, password stolen, online harassment, online threats",Low
Fraud,Head of Financial Crimes Unit,"fraudulent documents, unauthorized purchase, employment fraud, credit card",Low
Theft,Directorate of Police,"ransacked, broke into my house, residential burglary",Medium
Cybercrime,Head of Cyber Crime Bureau,"webcam hacked, tech support scam, online threats, strange messages, cyber blackmail, internet scam",Critical
Theft,Directorate of Police,"porch pirate, ransacked, steal, disappeared with, catalytic converter theft, stealing",Medium
Fraud,Head of Financial Crimes Unit,"ripped off, fake website, card got charged",Low
Drug-Related Offenses,Chief of Narcotics Control,"psychedelic drugs, drug cartel, designer drugs, opioids, drug overdose, drug house",Critical
Cybercrime,Head of Cyber Crime Bureau,"online stalking, spyware, suspicious activity online, identity breach, cyber harassment",High
Assault,Commissioner of Law Enforcement,"knocked me down, getting violent, physical threat",Low
Cybercrime,Head of Cyber Crime Bureau,"ransomware, keylogger, phone hacked, cyber espionage, cyber terrorism, cyber stalking",Low
Cybercrime,Head of Cyber Crime Bureau,"online threats, malware, identity stolen online, email compromise, fake profile",Low
Fraud,Head of Financial Crimes Unit,"fake email, social security fraud, credit fraud",Low
Theft,Directorate of Police,"took everything, laptop stolen, stolen from my yard, break-in, missing, ran off with",High
Fraud,Head of Financial Crimes Unit,"telemarketing fraud, phone scam, fake job offer, mail fraud, loan fraud, credit card",High
Fraud,Head of Financial Crimes Unit,"strange transaction, ponzi scheme, fake job offer, forgery, scam",Low
Fraud,Head of Financial Crimes Unit,"fake investment, medicare fraud, bank scam, card got charged",Medium
Theft,Directorate of Police,"made off with, copper wire theft, broke in and took, ransacked, auto theft",Low
Fraud,Head of Financial Crimes Unit,"fake currency, internet fraud, cheating, healthcare fraud, card got charged, insurance scam",Low
Assault,Commissioner of Law Enforcement,"roughed up, throwing things, threw punches",Critical
Fraud,Head of Financial Crimes Unit,"card got charged, loan fraud, advance fee fraud, phone scam, cheating",High
Assault,Commissioner of Law Enforcement,"threw punches, acting aggressive, brawl, violent outburst, beaten",Critical
Theft,Directorate of Police,"retail theft, missing from my porch, broke in and took",Medium
Cybercrime,Head of Cyber Crime Bureau,"fake website, account hacked, email hacked",High
Theft,Directorate of Police,"vehicle break-in, cash stolen, car gone, package theft, bike gone",High
Theft,Directorate of Police,"ransacked, package theft, break-in, cash stolen, snatched",High
Fraud,Head of Financial Crimes Unit,"suspicious call, got scammed, fake job offer, securities fraud, loan fraud",Medium
Fraud,Head of Financial Crimes Unit,"insurance scam, financial deception, ponzi scheme, got scammed",Medium
Assault,Commissioner of Law Enforcement,"got attacked, aggressive behavior, physical altercation, got jumped, knocked me down",Low
Assault,Commissioner of Law Enforcement,"battery, jumped me, school violence, violent outburst, acting aggressive",Medium
Drug-Related Offenses,Chief of Narcotics Control,"crack house, drug meetup, drug exchanges, cocaine",High
Fraud,Head of Financial Crimes Unit,"pyramid scheme, loan fraud, tech support scam, ripped off",Low
Cybercrime,Head of Cyber Crime Bureau,"identity stolen online, social media scam, data theft, bitcoin scam",High
Assault,Commissioner of Law Enforcement,"armed assault, road rage incident, fight, picked a fight, attack",Medium
Assault,Commissioner of Law Enforcement,"throwing things, aggravated assault, got into a fight",Medium
Cybercrime,Head of Cyber Crime Bureau,"digital extortion, denial of service, account compromised, identity breach, password theft",Low
Theft,Directorate of Police,"pickpocket, property theft, catalytic converter theft, robbed, burglary",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug distribution, possession, weird smell, methamphetamine, dealing drugs, substance abuse",Low
Cybercrime,Head of Cyber Crime Bureau,"strange messages, email compromise, account compromised, botnet attack, spam emails",High
Theft,Directorate of Police,"theft, grand theft, taken from my car, items missing, missing, broke in and took",High
Cybercrime,Head of Cyber Crime Bureau,"account compromised, cyber attack, suspicious activity online, internet scam, computer virus",Critical
Fraud,Head of Financial Crimes Unit,"fraudulent documents, identity theft, real estate fraud, unauthorized purchase, wire fraud, check fraud",High
Drug-Related Offenses,Chief of Narcotics Control,"suspicious packages, crystal meth, prescription drugs, pharmaceutical theft, strange odors",Medium
Assault,Commissioner of Law Enforcement,"hit, physical intimidation, roughed up, got beaten",Medium
Cybercrime,Head of Cyber Crime Bureau,"denial of service, online harassment, digital theft",High
Theft,Directorate of Police,"pickpocket, lifted my wallet, car theft",High
Assault,Commissioner of Law Enforcement,"physical harassment, physical abuse, getting threatening, unprovoked attack",High
Assault,Commissioner of Law Enforcement,"violent outburst, physical altercation, assault with weapon, got jumped",Critical
Theft,Directorate of Police,"ransacked, vehicle break-in, catalytic converter theft, smartphone theft",Low
Theft,Directorate of Police,"someone took my, package theft, missing from my porch, nicked my, jewelry theft",Critical
Fraud,Head of Financial Crimes Unit,"cheating, fake email, tech support scam, embezzlement",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug addiction, controlled substances, suspicious transactions, pills for sale, drug money",Low
Cybercrime,Head of Cyber Crime Bureau,"suspicious activity online, hacked, phone hacked, computer infected, email hacked",Medium
Cybercrime,Head of Cyber Crime Bureau,"denial of service, cryptocurrency scam, online harassment",Medium
Assault,Commissioner of Law Enforcement,"threatening, physical threat, came at me, acting aggressive",Medium
Theft,Directorate of Police,"took my stuff, vehicle break-in, cleaned out my, missing from my porch, stolen from my yard, items missing",Low
Fraud,Head of Financial Crimes Unit,"mail fraud, suspicious call, fake currency, fake email",Critical
Fraud,Head of Financial Crimes Unit,"fraud, real estate fraud, bank scam, money laundering, mortgage fraud, insurance scam",High
Drug-Related Offenses,Chief of Narcotics Control,"drug manufacturing, drug smuggling, drug dealing, dealing drugs, methamphetamine",High
Assault,Commissioner of Law Enforcement,"road rage incident, weapon assault, violent behavior, beat me up",Critical
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, credential theft, network intrusion, identity breach, cyber espionage",Critical
Fraud,Head of Financial Crimes Unit,"ponzi scheme, fake website, healthcare fraud, identity theft, pyramid scheme, got scammed",High
Assault,Commissioner of Law Enforcement,"got beaten, pushed me around, trying to fight",Critical
Fraud,Head of Financial Crimes Unit,"tax fraud, fake investment, embezzlement, pyramid scheme, healthcare fraud, medicare fraud",Critical
Fraud,Head of Financial Crimes Unit,"took my money, gift card scam, strange transaction, ripped off",High
Fraud,Head of Financial Crimes Unit,"romance scam, counterfeit, credit card skimming, identity theft, fake investment",Medium
Fraud,Head of Financial Crimes Unit,"credit card skimming, mail fraud, phone scam, identity stolen",Medium
Drug-Related Offenses,Chief of Narcotics Control,"suspicious packages, drug manufacturing, weird smell, heroin, crack cocaine, people coming and going",Medium
Theft,Directorate of Police,"catalytic converter theft, missing from my porch, made off with",Critical
Assault,Commissioner of Law Enforcement,"started swinging, armed assault, physical abuse, physical injury",High
Theft,Directorate of Police,"cash stolen, cleaned out my, taken from my car, car gone, bike gone",High
Cybercrime,Head of Cyber Crime Bureau,"cyber harassment, breach, fake profile, internet fraud, data leak",Low
Fraud,Head of Financial Crimes Unit,"money laundering, healthcare fraud, securities fraud, ripped off, fake check, fake job offer",Critical
Fraud,Head of Financial Crimes Unit,"fake job offer, got scammed, insurance fraud, credit fraud",High
Drug-Related Offenses,Chief of Narcotics Control,"drug smuggling, possession, drug meetup, drug money, dealing from car",High
Theft,Directorate of Police,"lifted my wallet, ransacked, items missing, took everything, property theft",Critical
Assault,Commissioner of Law Enforcement,"group assault, assault and battery, getting violent, threatening",Critical
Cybercrime,Head of Cyber Crime Bureau,"computer infected, social engineering, online harassment, cyber fraud, social media hack",Low
Assault,Commissioner of Law Enforcement,"getting threatening, violent confrontation, physical intimidation, unprovoked attack",Critical
Fraud,Head of Financial Crimes Unit,"money laundering, credit fraud, social security fraud, insurance fraud, fake check, insurance scam",Critical
Cybercrime,Head of Cyber Crime Bureau,"cyber harassment, account compromised, cyber fraud, computer infected, suspicious activity online",Medium
Cybercrime,Head of Cyber Crime Bureau,"data leak, email scam, identity breach, denial of service",High
Theft,Directorate of Police,"grabbed my, took my stuff, petty theft, pickpocket, cleaned out my, shoplifting",High
Fraud,Head of Financial Crimes Unit,"wire fraud, investment fraud, romance scam, medicare fraud, social security fraud",Medium
Assault,Commissioner of Law Enforcement,"brutal attack, hit, roughed up, came at me, fight",Medium
Assault,Commissioner of Law Enforcement,"beat me up, battery, violent attack",Low
Fraud,Head of Financial Crimes Unit,"advance fee fraud, credit card, embezzlement",Medium
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, fake profile, cyber stalking, social media scam",Low
Fraud,Head of Financial Crimes Unit,"bank scam, took my money, fake website, fake company, fraud, money disappeared",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug paraphernalia, possession, pharmaceutical theft",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber harassment, pop-up scam, social engineering",High
Drug-Related Offenses,Chief of Narcotics Control,"lots of traffic, strange odors, drug cartel, methamphetamine, synthetic drugs, heroin",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber extortion, cyber terrorism, credential theft, cyber bullying, password stolen",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug meetup, illegal prescription, constant visitors, pills for sale",Low
Theft,Directorate of Police,"storage unit theft, car theft, purse snatching, cleaned out my",Low
Cybercrime,Head of Cyber Crime Bureau,"webcam hacked, cyber blackmail, strange messages, digital extortion",Medium
Drug-Related Offenses,Chief of Narcotics Control,"lots of traffic, cocaine, strange odors, drug enforcement, late night activity, suspicious transactions",Critical
Cybercrime,Head of Cyber Crime Bureau,"ransomware, cyber attack, computer infected",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug meetup, cocaine, drug drops",Critical
Assault,Commissioner of Law Enforcement,"threw punches, knocked me down, road rage incident",Medium
Fraud,Head of Financial Crimes Unit,"credit card skimming, medicare fraud, advance fee fraud, fake check",Critical
Drug-Related Offenses,Chief of Narcotics Control,"narcotics, people coming and going, drug manufacturing, illegal prescriptions",High
Fraud,Head of Financial Crimes Unit,"fake website, inheritance scam, advance fee fraud, strange transaction",Critical
Fraud,Head of Financial Crimes Unit,"got scammed, fake email, identity stolen, credit card",Low
